iter	Passed	Remaining
535	10991	9515
536	11008	9491
537	11025	9467
538	11042	9444
539	11059	9420
540	11079	9400
541	11118	9395
542	11139	9375
543	11177	9369
544	11214	9362
545	11237	9343
546	11258	9323
547	11280	9304
548	11302	9285
549	11323	9264
550	11347	9246
551	11370	9228
552	11394	9210
553	11418	9192
554	11440	9172
555	11462	9153
556	11480	9131
557	11498	9107
558	11516	9085
559	11533	9061
560	11551	9039
561	11570	9017
562	11588	8994
563	11604	8970
564	11620	8947
565	11637	8923
566	11655	8900
567	11679	8883
568	11701	8863
569	11723	8843
570	11740	8821
571	11763	8802
572	11781	8779
573	11798	8756
574	11819	8736
575	11847	8721
576	11867	8700
577	11885	8677
578	11903	8655
579	11925	8635
580	11942	8612
581	11961	8591
582	11982	8570
583	12001	8548
584	12022	8528
585	12041	8507
586	12059	8485
587	12082	8466
588	12104	8446
589	12121	8423
590	12138	8400
591	12155	8377
592	12173	8354
593	12190	8332
594	12212	8312
595	12229	8290
596	12247	8267
597	12267	8247
598	12290	8227
599	12307	8205
600	12329	8185
601	12348	8163
602	12369	8143
603	12392	8125
604	12414	8105
605	12432	8083
606	12454	8063
607	12477	8044
608	12499	8025
609	12537	8015
610	12576	8007
611	12623	8003
612	12683	8007
613	12709	7990
614	12732	7970
615	12755	7951
616	12779	7932
617	12801	7913
618	12825	7894
619	12843	7872
620	12861	7849
621	12878	7826
622	12897	7804
623	12916	7782
624	12934	7760
625	12959	7742
626	12980	7721
627	13022	7713
628	13056	7701
629	13078	7681
630	13104	7663
631	13133	7647
632	13158	7628
633	13180	7609
634	13206	7590
635	13228	7570
636	13248	7549
637	13278	7534
638	13320	7525
639	13359	7514
